,Unnamed: 0,Id,Impact,Urgency,IncidentType,ServiceProcessed,MailSubject,MailTextBody,ManualGroups,Combined_Content
0,3554,INC000010587669,4-Minor/Localized,2-High,Failure,EDA_S_BA_2FA,smart card blockiert MD5:2225e4a30a5b7e592ba34883a823ed4d,"lieber helpdesk  sie haben mir den computer freigeschaltet, weil meine smartcard blockiert ist. ich bin nun in ausserholligen und möchte die smardcard gern deblockieren. was muss ich tun?  bin jetzt noch frei, aber ab 10.30h-12h in einer sitzung. um 12.30 möchte ich idealerweise das büro wieder verlassen. hoffe das klappt heute.  lg",,smart card blockieren computer freigeschaltet smartcard blockieren ausserholligen smardcard deblockieren sitzung idealerweise büro verlassen hoffen klappen
1,3553,INC000010585556,4-Minor/Localized,4-Low,Service Request,EDA_S_Order Management,FW: Webcam MD5:f757a42a9bdb1dfd9c8427e588586ca8,"liebe kolleginnen und kollegen  ich möchte für susanne caseri eine webcam für videokoferenzen bestellen, die man am bildschirm befestigen kann.  mit bestem dank und vielen grüsse",,webcam kolleginnen caseri webcam videokoferenzen bestellen bildschirm befestigen gut
2,3552,INC000010585519,4-Minor/Localized,4-Low,Failure,EDA_S_Peripheriegeräte,FW: IT Support heute Nachmittag MD5:bc594d6bfdea74a2e40ba31d41444025,"liebe kolleginnen und kollegen  es handelt sich um eine sitzung der deza-direktion heute um 16.30 uhr im sitzungszimmer 0 1 2 3 .  darf ich sie gem. untenstehendem mail bitten, dass jemand vor ort sein kann?  besten dank und bei fragen stehe ich zur verfügung.  freundliche grüsse rahel fitze direktionsassistentin eidgenössisches departement für auswärtige angelegenheiten eda direktion für entwicklung und zusammenarbeit deza freiburgstrasse 0 1 2 3 , ch-0 1 2 3 bern, schweiz  tel: +0 1 2 3 fax. +41 https://www.admin.ch> website: https://www.admin.ch/>   from: https://www.admin.ch> sent: thursday, october 29, 2020 11:29 am to: https://www.admin.ch> subject: it support heute nachmittag  liebe rahel die dr hat ein neues videosystem im a-0 1 2 3 . ich habe eben versucht, es in gang zu bringen, hat aber nicht geklappt. könnest du mir für heute nachmittag einen support organisieren? 16.30 vor ort wäre ideal. liebe grüsse",,support nachmittag kolleginnen handeln sitzung dezadirektion uhr sitzungszimmer gem untenstehend mail gut fragen stehen verfügung fitze direktionsassistentin eidgenössisch departement auswärtig angelegenheiten direktion entwicklung zusammenarbeit freiburgstrasse ch0 schweiz tel fax website from sent thursday october subject support nachmittag videosystem versuchen gang klappen können nachmittag support organisieren ideal
3,3549,INC000010582950,4-Minor/Localized,4-Low,Service Request,EDA_S_Benutzerunterstützung,Botschaft Warschau -  Administratoren-Zugang für MS Teams  MD5:95c1b3200cb6e564b7af577b457cbc23,"sehr geehrte damen und herren,  die botschaft in warschau plant am 18. november ein webinar zu organisieren.  in diesem zusammenhang wurde ich intern gebeten, für mich einen administratoren-zugang für microsoft teams zu beantragen, damit das webinar und künftige online-konferenzen auf dieser plattform organisiert werden können.  sollten sie zusätzliche informationen von mir benötigen, oder fragen haben, bleibe ich zu ihrer verfügung.  da das instrument für uns neu ist, wollte ich auch gleich fragen, ob wir eine kurze anleitung (manual?) bekommen könnten bzw. wo es vielleicht im intranet verfügbar wäre.  mit freundlichen grüsse",Benutzeranleitungen_Telefonie,botschaft warschau administratorenzugang teams botschaft warschau planen webinar organisieren zusammenhang intern gebeten administratorenzugang microsoft teams beantragen webinar künftig onlinekonferenzen plattform organisieren zusätzliche informationen benötigen fragen bleiben verfügung instrument fragen kurze anleitung manual bekommen intranet verfügbar freundlich
4,3548,INC000010582919,4-Minor/Localized,4-Low,Service Request,EDA_S_Order Management,FW: Commande d'un écran MD5:c2b8cb3281fed4e2d4e0a9ced108f7bd,liebe kolleginnen und kollegen  ich möchte für frédéric noirjean einen zweiten bildschirm bestellen. leider klappt die bestellung über egate nicht. ich kann keinen bildschirm auswählen.  besten dank für die erledigung und viele grüsse,,commande écran kolleginnen noirjean zweit bildschirm bestellen klappen bestellung egate bildschirm auswählen gut erledigung
5,3546,INC000010582465,4-Minor/Localized,4-Low,Failure,EDA_ANW_SysP eDoc,RichClient Photo mit Partikel MD5:3d5b8242d5f11b10ae9b90f86349b804,"einen schönen guten morgen helpdesk-team,  hoffe, ihnen geht es gut und sie sind wohlauf.  heute haben wir passtermine und beim ersten termin haben wir beim aufnehmen des photos einige partikel bemerkt.  das glas haben wir nochmals mit einem screen wipe geputzt aber die partikel sind noch vorhanden.  [cid:image007.jpg@01d6ad17.93a3d8d0]  können sie uns mitteilen, woran das liegen kann oder von wo diese partikel herkommen könnte?  danke für ihre kenntnisnahme und rückmeldung.  mit freundlichen grüsse",,richclient photo partikel schön helpdeskteam hoffen wohlauf passtermine termin aufnehmen photos partikel bemerken nochmals screen wipe putzen partikel vorhanden mitteilen liegen partikel herkommen kenntnisnahme rückmeldung freundlich
6,3545,INC000010582192,4-Minor/Localized,4-Low,Service Request,EDA_S_BA_2FA,Smartcard renewal MD5:8e5d9f92ade9c5f9a2e5764b81d82ec0,"guten tag  gemäss meiner information wird meine smartcard am 2. november 2020 auslaufen.  ich habe aber bis jetzt noch kein email zur aufforderung erhalten, und kann daher das app ‘certificate renewal’ nicht durchgehen. (die app weist darauf hin, dass man das aufforderungsmail abwarten sollte.)  aufgrund von covid-19 sind meine tage im büro und an der docking station sehr begrenzt, und ich wäre daher sehr froh, wenn ich möglichst bald eine aufforderung zur erneuerung bekäme.  vielen dank für ihre hilfe und mit freundlichen grüsse",,smartcard renewal tag smartcard auslaufen email aufforderung app certificate renewal durchgehen app aufforderungsmail abwarten covid19 büro docking station begrenzen aufforderung erneuerung bekommen hilfe freundlich
7,3544,INC000010582091,4-Minor/Localized,4-Low,Failure,EDA_S_Betrieb Übermitttlungssysteme,Rote licht blinkt - aber keine Nachricht sichtbar - GK Shan... MD5:25ff4ca423273b116b5a4093a055f6cb,"ref. 0 1 2 3 .0-zid  sehr geehrte kollegen vom helpdesk  seit gestern abend blinkt die rote empfangslampe des tc-0 1 2 3 . andere lichter sind jedoch nicht eingeschaltet. es gibt keinen ton.  also habe ich mit meiner persönlichen karte nachgesehen, konnte aber keine neuen oder aktuellen nachrichten finden.  dasselbe ist meinem manager, herrn ralph steinegger, passiert. wir konnten keine erhaltenen nachrichten sehen.  da ich seit jahren nicht mehr an tc-0 1 2 3 melde , haben wir den zweifel, dass wir der gelben karte auch nicht richtig benutzt haben.  können sie bitte die situation anschauen?  vielen dank im voraus,  freundliche grüsse",,blinken nachricht sichtbar ref 0zid blinken empfangslampe tc0 einschalten ton persönlich karte nachsehen aktuell nachrichten manager herrn steinegger passieren erhalten nachrichten jahren tc0 melden gelb karte richtig situation anschauen voraus
8,3543,INC000010580891,4-Minor/Localized,4-Low,Service Request,EDA_S_Benutzerunterstützung,Webinare für Aussenstehende: Welche Plattformen eignen sich? MD5:ee25fc7c9144a9186c79468131712b9a,"sehr geehrte damen und herren  wir werden in 3 wochen auf der schweizerischen botschaft in polen ein webinar für aussenstehende organisieren und versuchen zu verstehen, welche it-lösungen sich dafür eignen (zoom, microsoft teams, etc.).  wichtig für uns wäre, dass wir das programm von unserem eda-laptop aus bedienen können und es für die aussenstehenden einfach zu benutzen ist. was ist ihre empfehlung hierfür?  beste grüsse und vielen dank",Benutzeranleitungen_Telefonie,webinare aussenstehende plattformen eignen wochen schweizerisch botschaft webinar aussenstehende organisieren versuchen verstehen itlösungen eignen zoom microsoft teams programm edalaptop bedienen aussenstehenden benutzen empfehlung hierfür
9,3542,INC000010577182,4-Minor/Localized,4-Low,Service Request,EDA_S_IT Sicherheit,FW: Benutzerkonto-Ablaufdatumswarnung MD5:9f22bcc4fd26019a504c48b7b6d74f0c,"guten morgen,  ich habe die beiden emails unten erhalten und habe zweifel, dass sie echt sind. könnten sie mich bitte informieren, wie ich mit diesen emails verfahren soll.  mit grüsse  From: filetransfer service notification https://www.admin.ch> sent: monday, october 26, 2020 11:01 am to: https://www.admin.ch> subject: warnung bzgl. kennwortverfall  ihr kennwort läuft bald ab  das kennwort muss alle 0 1 2 3 tage geändert werden. ihr kennwort läuft in 6 tagen ab.  bitte verwenden sie die folg",,emails echt informieren emails verfahren from filetransfer service notification sent monday october subject warnung bzgl kennwortverfall kennwort laufen kennwort ändern kennwort laufen verwenden folg
